% Model,Resultfiles.mph
% Version,COMSOL 6.2.0.290
% Date,"Mar 31 2025, 14:38"
% Dimension,2
% Nodes,9491
% Expressions,76
% Description,Phase fraction
% Length unit,m
% X,Y,audc.phase5.xi (1) @ t=0,audc.phase5.xi (1) @ t=0.1,audc.phase5.xi (1) @ t=0.2,audc.phase5.xi (1) @ t=0.3,audc.phase5.xi (1) @ t=0.4,audc.phase5.xi (1) @ t=0.5,audc.phase5.xi (1) @ t=0.6,audc.phase5.xi (1) @ t=0.7,audc.phase5.xi (1) @ t=0.8,audc.phase5.xi (1) @ t=0.9,audc.phase5.xi (1) @ t=1,audc.phase5.xi (1) @ t=2,audc.phase5.xi (1) @ t=3,audc.phase5.xi (1) @ t=4,audc.phase5.xi (1) @ t=5,audc.phase5.xi (1) @ t=6,audc.phase5.xi (1) @ t=7,audc.phase5.xi (1) @ t=8,audc.phase5.xi (1) @ t=9,audc.phase5.xi (1) @ t=10,audc.phase5.xi (1) @ t=11,audc.phase5.xi (1) @ t=12,audc.phase5.xi (1) @ t=13,audc.phase5.xi (1) @ t=14,audc.phase5.xi (1) @ t=15,audc.phase5.xi (1) @ t=16,audc.phase5.xi (1) @ t=17,audc.phase5.xi (1) @ t=18,audc.phase5.xi (1) @ t=19,audc.phase5.xi (1) @ t=20,audc.phase5.xi (1) @ t=21,audc.phase5.xi (1) @ t=22,audc.phase5.xi (1) @ t=23,audc.phase5.xi (1) @ t=24,audc.phase5.xi (1) @ t=25,audc.phase5.xi (1) @ t=26,audc.phase5.xi (1) @ t=27,audc.phase5.xi (1) @ t=28,audc.phase5.xi (1) @ t=29,audc.phase5.xi (1) @ t=30,audc.phase5.xi (1) @ t=31,audc.phase5.xi (1) @ t=32,audc.phase5.xi (1) @ t=33,audc.phase5.xi (1) @ t=34,audc.phase5.xi (1) @ t=35,audc.phase5.xi (1) @ t=36,audc.phase5.xi (1) @ t=37,audc.phase5.xi (1) @ t=38,audc.phase5.xi (1) @ t=39,audc.phase5.xi (1) @ t=40,audc.phase5.xi (1) @ t=41,audc.phase5.xi (1) @ t=42,audc.phase5.xi (1) @ t=43,audc.phase5.xi (1) @ t=44,audc.phase5.xi (1) @ t=45,audc.phase5.xi (1) @ t=46,audc.phase5.xi (1) @ t=47,audc.phase5.xi (1) @ t=48,audc.phase5.xi (1) @ t=49,audc.phase5.xi (1) @ t=50,audc.phase5.xi (1) @ t=51,audc.phase5.xi (1) @ t=52,audc.phase5.xi (1) @ t=53,audc.phase5.xi (1) @ t=54,audc.phase5.xi (1) @ t=55,audc.phase5.xi (1) @ t=56,audc.phase5.xi (1) @ t=57,audc.phase5.xi (1) @ t=58,audc.phase5.xi (1) @ t=59,audc.phase5.xi (1) @ t=60,audc.phase5.xi (1) @ t=100,audc.phase5.xi (1) @ t=200,audc.phase5.xi (1) @ t=300,audc.phase5.xi (1) @ t=400,audc.phase5.xi (1) @ t=500,audc.phase5.xi (1) @ t=600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21761394286487035,0.5490591511284805,0.7164620440410939,0.8074515200716681,0.8607035056139652,0.894157732070742,0.9158458935912803,0.930497570186027,0.9407525963465023,0.9481994716953339,0.9539355264984078,0.9586318100121817,0.9626116074525294,0.9660266401317933,0.9689666240637737,0.9714964546529384,0.9736694590337167,0.9755305775220101,0.9771185708899199,0.9784670790389994,0.9796052851684506,0.9805585456333124,0.9813490237795441,0.9819959076106326,0.9825158986853654,0.98292364583865,0.9832319695291186,0.9834521078406764,0.983593964426836,0.9836662224057683,0.9836859810725724,0.983688003203807,0.9836881831495767,0.9836881997012838,0.9836882013448274,0.9836882015117435,0.9836882015265352,0.9836882015278392,0.9836882015279549,0.9836882015279655,0.9836882015279665,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279664,0.9836882015279661,0.983688201527966
3.988619999195E-4,5.2511178482E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22836329802340546,0.5545358759230004,0.7193633269605285,0.8091143220604157,0.8617210694542795,0.8948093947572756,0.9162835383723108,0.9308037079792311,0.9409744178498379,0.9483676653924896,0.9540717594771745,0.9587475348125419,0.962711782664712,0.9661139726932391,0.9690429166867549,0.9715631542695461,0.9737277912432408,0.9755815988874533,0.9771631973020528,0.9785061061738699,0.9796394053852902,0.9805883622203793,0.9813750627643564,0.9820186286582763,0.982535704169516,0.9829408883174641,0.983246958368033,0.9834651149218593,0.9836052289587239,0.9836759552889801,0.9836944580898132,0.9836963175181193,0.9836964829852521,0.9836964982051903,0.9836964997164928,0.9836964998699788,0.9836964998835803,0.9836964998847796,0.9836964998848858,0.9836964998848955,0.9836964998848964,0.9836964998848965,0.9836964998848965,0.9836964998848965,0.9836964998848963,0.9836964998848963,0.9836964998848958,0.9836964998848955,0.9836964998848955,0.9836964998848956
4.023037671595E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21761394286487035,0.5490591511284805,0.7164620440410939,0.8074515200716681,0.8607035056139652,0.894157732070742,0.9158458935912803,0.930497570186027,0.9407525963465023,0.9481994716953339,0.9539355264984078,0.9586318100121817,0.9626116074525294,0.9660266401317933,0.9689666240637737,0.9714964546529384,0.9736694590337167,0.9755305775220101,0.9771185708899199,0.9784670790389994,0.9796052851684506,0.9805585456333124,0.9813490237795441,0.9819959076106326,0.9825158986853654,0.98292364583865,0.9832319695291186,0.9834521078406764,0.983593964426836,0.9836662224057683,0.9836859810725724,0.983688003203807,0.9836881831495767,0.9836881997012838,0.9836882013448274,0.9836882015117435,0.9836882015265352,0.9836882015278392,0.9836882015279549,0.9836882015279655,0.9836882015279665,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279667,0.9836882015279664,0.9836882015279661,0.983688201527966
7.97723999839E-4,1.05022356964E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23358736024771654,0.5571741891998143,0.720756679998407,0.8099098079351514,0.8622054956108933,0.8951177244533444,0.916489093221011,0.9309462708066458,0.9410767157285136,0.9484445617851918,0.9541337600200905,0.9588001152348946,0.96275728363794,0.9661536501492445,0.9690775993527724,0.9715935044516868,0.9737543689262556,0.9756048863791809,0.9771836124103904,0.978524011644764,0.9796551166754938,0.9806021540425462,0.9813871745103883,0.9820292693998633,0.9825450568184921,0.9829491130535681,0.9832541956737924,0.9834714881976387,0.9836108467247956,0.9836809131829505,0.983698878045132,0.983700667823489,0.9837008270925999,0.9837008417424338,0.9837008431971261,0.9837008433448629,0.9837008433579548,0.983700843359109,0.9837008433592113,0.9837008433592205,0.9837008433592214,0.9837008433592214,0.9837008433592214,0.9837008433592214,0.9837008433592213,0.9837008433592211,0.9837008433592209,0.9837008433592209,0.9837008433592209,0.9837008433592209
8.01165767079E-4,5.2511178482E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23354857919579186,0.5571547132979059,0.7207464239495986,0.8099039732016979,0.8622019577651403,0.8951154847122904,0.9164876095098319,0.930945249393197,0.9410759889441678,0.9484440188957622,0.9541333231515156,0.9587997448777703,0.9627569630393764,0.9661533703995717,0.9690773545773729,0.9715932899623054,0.9737541807632785,0.9756047211344617,0.9771834671332574,0.9785238837748318,0.9796550039873868,0.9806020545993794,0.9813870866252341,0.9820291916002463,0.9825449878168613,0.9829490517229758,0.98325414102637,0.9834714393660607,0.9836108029466755,0.9836808737866958,0.9836988421972022,0.9837006324346551,0.9837007917446203,0.9837008063982122,0.9837008078532777,0.9837008080010523,0.9837008080141478,0.9837008080153024,0.9837008080154048,0.983700808015414,0.9837008080154148,0.983700808015415,0.983700808015415,0.983700808015415,0.983700808015415,0.9837008080154154,0.9837008080154153,0.9837008080154152,0.9837008080154152,0.9837008080154153
8.04607534319E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2374787713875813,0.559128104246582,0.7217852673836392,0.8104947543554952,0.8625600141493539,0.8953420357987188,0.9166375821865573,0.9310484018914207,0.9411492957591282,0.9484986041889951,0.9541770727236871,0.9588367462310478,0.9627889407745762,0.966181234368357,0.9691016973193608,0.9716145826072683,0.9737728208790952,0.9756210508166285,0.9771977825328823,0.9785364418662281,0.979666028121969,0.9806117391761163,0.9813956009585952,0.9820366834838546,0.9825515864872192,0.9829548703006673,0.9832592786763317,0.9834759831581709,0.9836148294220121,0.9836844503772375,0.9837020534879158,0.9837037964477888,0.9837039515506084,0.9837039658172202,0.9837039672338594,0.9837039673777314,0.9837039673904808,0.9837039673916049,0.9837039673917047,0.9837039673917137,0.9837039673917145,0.9837039673917145,0.9837039673917145,0.9837039673917145,0.9837039673917137,0.9837039673917142,0.9837039673917144,0.9837039673917142,0.9837039673917141,0.9837039673917141
0.0011566998007295,1.52282417725E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2589074073643834,0.5698078259933633,0.7274037322596911,0.8136867735133122,0.8644915757067486,0.8965614698960771,0.917442501055078,0.9316000515224115,0.9415396485930223,0.9487880598822348,0.9544085245482383,0.959032356143303,0.9629580036492008,0.9663286144242547,0.9692305429423074,0.9717273908333683,0.9738716967762612,0.9757078048388494,0.9772739814297119,0.9786034446992351,0.9797250157717337,0.9806637391393453,0.9814415078789367,0.9820772780598991,0.9825875511941049,0.9829868023379523,0.9832877014225735,0.9835013560340212,0.9836375561914824,0.9837048866692968,0.983720637994201,0.9837221414039107,0.9837222751895982,0.9837222874954253,0.9837222887173634,0.983722288841462,0.983722288852459,0.9837222888534285,0.9837222888535146,0.9837222888535225,0.9837222888535233,0.9837222888535233,0.9837222888535233,0.9837222888535232,0.983722288853523,0.9837222888535228,0.9837222888535228,0.9837222888535223,0.9837222888535223,0.9837222888535223
0.0011601415679695,9.9771239243E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2521895686853721,0.5664623303378369,0.7256515021652795,0.8126962961729323,0.86389564077509,0.8961878165368252,0.9171978333773174,0.9314339464263027,0.9414234145230935,0.9487028455916202,0.9543409155016557,0.9589754531124397,0.9629089510656398,0.9662859434878983,0.9691933170128626,0.9716948713180402,0.9738432623787348,0.9756829217777048,0.9772521881072447,0.9785843409549067,0.9797082541126876,0.9806490173817031,0.981428563058714,0.9820658808299096,0.9825775011670581,0.9829779242522105,0.983279841751999,0.9834943800702205,0.9836313455888657,0.9836993372223746,0.983715622067072,0.9837171944799857,0.9837173344061425,0.9837173472767801,0.9837173485548025,0.9837173486845967,0.9837173486960988,0.9837173486971129,0.9837173486972028,0.9837173486972111,0.9837173486972118,0.983717348697212,0.9837173486972121,0.9837173486972121,0.9837173486972122,0.9837173486972122,0.9837173486972122,0.9837173486972122,0.9837173486972122,0.9837173486972122
0.0011666809229145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24541973687823918,0.5631157978013224,0.7238846151308554,0.8116887212703582,0.8632837096836694,0.8957999872624236,0.9169407788530154,0.9312569769943247,0.9412975512666006,0.9486090209757211,0.95426558486131,0.9589116116307547,0.9628536446480678,0.9662376161422565,0.9691509553964233,0.9716576699741897,0.9738105417616009,0.9756540972422116,0.9772267535958469,0.9785618574145338,0.979688339990562,0.9806313406337285,0.9814128345314321,0.9820518481638946,0.9825649437270737,0.9829666489515315,0.9832696793577219,0.9834851820215077,0.9836229813188502,0.9836916917310777,0.9837085554582622,0.9837102027256664,0.9837103493129878,0.98371036279633,0.9837103641351924,0.9837103642711654,0.983710364283215,0.9837103642842773,0.9837103642843716,0.9837103642843802,0.983710364284381,0.9837103642843811,0.9837103642843811,0.9837103642843811,0.98371036428438,0.9837103642843803,0.9837103642843802,0.9837103642843799,0.9837103642843797,0.9837103642843797
0.00151567560162,1.99542478486E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2688240591903752,0.5747386677414624,0.7300242417264444,0.8151919959795152,0.8654132065542766,0.8971512076457467,0.9178377044823844,0.9318755896748065,0.9417384821804777,0.9489385308386998,0.9545306233647547,0.9591363922461017,0.9630484197616509,0.966407811585838,0.9693001253008725,0.9717886446299584,0.9739257105202531,0.9757555163636095,0.9773162032592394,0.9786408823246738,0.9797582827389579,0.9806933697631894,0.98146796778079,0.9821009738855319,0.9826088386991877,0.9830059930498547,0.983305068538933,0.9835171395054298,0.9836519670013318,0.983718110716138,0.9837329036770003,0.9837342831263524,0.9837344058810339,0.9837344171722111,0.983734418293397,0.9837344184072632,0.9837344184173537,0.9837344184182433,0.9837344184183222,0.9837344184183294,0.98373441841833,0.9837344184183303,0.9837344184183303,0.9837344184183303,0.9837344184183302,0.98373441841833,0.9837344184183299,0.9837344184183298,0.9837344184183298,0.9837344184183298
